id,name,temp_avg,temp_max,temp_min,date_time
373,E21HVV-1,28.300000000000008,28.3,28.3,2021-03-17
465,HS8JHY-1,30.0,30.0,30.0,2021-03-17
392,E27EHM-3,32.800000000000004,32.8,32.8,2021-03-14
434,HS3PQJ-2,28.89999999999999,28.9,28.9,2021-03-14
452,HS5XSZ-1,25.0,25.0,25.0,2021-03-09
442,HS4ROI-1,22.199999999999992,22.2,22.2,2021-01-27
369,APRSTH,30.60000000000001,30.6,30.6,2021-01-23
388,E25ECY-1,25.600000000000005,25.6,25.6,2021-01-18
383,E24QFF-1,25.0,25.0,25.0,2021-01-13
419,HS2QJJ-14,23.300000000000008,23.3,23.3,2021-01-11
469,HS9AS-10,30.0,30.0,30.0,2020-12-26
461,HS8AC-10,28.300000000000008,28.3,28.3,2020-12-15
441,HS4RBS-2,22.199999999999992,22.2,22.2,2020-12-13
426,HS3LSE-11,25.600000000000005,25.6,25.6,2020-12-05
376,E22ZMG-1,17.199999999999996,17.2,17.2,2020-11-30
390,E27AH-1,24.399999999999995,24.4,24.4,2020-11-13
